source	target	value	date	year
ayahuasca	cannabis	1	2001-12-01	2001
ayahuasca	cannabis	1	2004-08-01	2004
ayahuasca	cannabis	1	2004-01-01	2004
ayahuasca	syrian rue	1	2004-10-01	2004
ayahuasca	tobacco	1	2004-08-01	2004
ayahuasca	cannabis	1	2005-09-01	2005
ayahuasca	tobacco	1	2005-09-01	2005
ayahuasca	cannabis	1	2006-03-01	2006
ayahuasca	syrian rue	1	2007-09-01	2007
ayahuasca	syrian rue	1	2007-07-01	2007
ayahuasca	syrian rue	1	2007-07-01	2007
ayahuasca	syrian rue	1	2007-01-01	2007
ayahuasca	cannabis	1	2007-12-01	2007
ayahuasca	cannabis	1	2007-01-01	2007
ayahuasca	cannabis	1	2008-04-01	2008
ayahuasca	cannabis	1	2009-01-01	2009
ayahuasca	tobacco	1	2012-11-01	2012
ayahuasca	tobacco	1	2012-10-01	2012
