source	target	value	date	year
ketamine	mdma	1	2000-10-01	2000
ketamine	mdma	1	2000-09-01	2000
ketamine	mdma	1	2000-09-01	2000
ketamine	mdma	1	2000-08-01	2000
ketamine	mdma	1	2000-06-01	2000
ketamine	mdma	1	2000-06-01	2000
ketamine	cannabis	1	2000-11-01	2000
ketamine	cannabis	1	2000-07-01	2000
ketamine	dxm	1	2000-08-01	2000
ketamine	ghb	1	2000-11-01	2000
ketamine	2c-t-7	1	2000-10-01	2000
ketamine	dpt	1	2000-11-01	2000
ketamine	alprazolam	1	2000-07-01	2000
ketamine	2c-b	1	2000-06-01	2000
ketamine	5-meo-dmt	1	2000-06-01	2000
ketamine	salvia divinorum	1	2000-06-01	2000
ketamine	mdma	1	2001-12-01	2001
ketamine	mdma	1	2001-06-01	2001
ketamine	mdma	1	2001-03-01	2001
ketamine	lsd	1	2001-08-01	2001
ketamine	lsd	1	2001-07-01	2001
ketamine	lsd	1	2001-06-01	2001
ketamine	cannabis	1	2001-07-01	2001
ketamine	cannabis	1	2001-06-01	2001
ketamine	dpt	1	2001-08-01	2001
ketamine	ghb	1	2001-08-01	2001
ketamine	methamphetamine	1	2001-07-01	2001
ketamine	cannabis	1	2002-07-01	2002
ketamine	cannabis	1	2002-07-01	2002
ketamine	cannabis	1	2002-07-01	2002
ketamine	2c-t-7	1	2002-06-01	2002
ketamine	2c-t-7	1	2002-06-01	2002
ketamine	2c-t-7	1	2002-01-01	2002
ketamine	mdma	1	2002-06-01	2002
ketamine	mdma	1	2002-02-01	2002
ketamine	nitrous oxide	1	2002-07-01	2002
ketamine	nitrous oxide	1	2002-07-01	2002
ketamine	dxm	1	2002-07-01	2002
ketamine	dxm	1	2002-01-01	2002
ketamine	amt	1	2002-07-01	2002
ketamine	amt	1	2002-02-01	2002
ketamine	dpt	1	2002-07-01	2002
ketamine	dpt	1	2002-07-01	2002
ketamine	5-meo-dmt	1	2002-03-01	2002
ketamine	5-meo-dmt	1	2002-02-01	2002
ketamine	ghb	1	2002-06-01	2002
ketamine	methamphetamine	1	2002-06-01	2002
ketamine	mushrooms	1	2002-11-01	2002
ketamine	salvia divinorum	1	2002-01-01	2002
ketamine	lsd	1	2003-12-01	2003
ketamine	lsd	1	2003-08-01	2003
ketamine	mdma	1	2003-08-01	2003
ketamine	mdma	1	2003-06-01	2003
ketamine	2c-b	1	2003-08-01	2003
ketamine	2c-b	1	2003-06-01	2003
ketamine	alprazolam	1	2003-08-01	2003
ketamine	cannabis	1	2003-12-01	2003
ketamine	dpt	1	2003-07-01	2003
ketamine	diazepam	1	2003-07-01	2003
ketamine	pcp	1	2003-07-01	2003
ketamine	dxm	1	2003-07-01	2003
ketamine	alcohol	1	2003-03-01	2003
ketamine	nitrous oxide	1	2003-08-01	2003
ketamine	cannabis	1	2004-09-01	2004
ketamine	cannabis	1	2004-09-01	2004
ketamine	cannabis	1	2004-09-01	2004
ketamine	cannabis	1	2004-09-01	2004
ketamine	cannabis	1	2004-02-01	2004
ketamine	alcohol	1	2004-12-01	2004
ketamine	tobacco	1	2004-09-01	2004
ketamine	pcp	1	2004-09-01	2004
ketamine	mdma	1	2004-02-01	2004
ketamine	cannabis	1	2005-12-01	2005
ketamine	cannabis	1	2005-12-01	2005
ketamine	cannabis	1	2005-11-01	2005
ketamine	cannabis	1	2005-10-01	2005
ketamine	cannabis	1	2005-08-01	2005
ketamine	cannabis	1	2005-06-01	2005
ketamine	bromo-dragonfly	1	2005-12-01	2005
ketamine	codeine	1	2005-12-01	2005
ketamine	acetaminophen	1	2005-12-01	2005
ketamine	alcohol	1	2005-12-01	2005
ketamine	nitrous oxide	1	2005-12-01	2005
ketamine	melatonin	1	2005-12-01	2005
ketamine	lsd	1	2005-11-01	2005
ketamine	mushrooms	1	2005-11-01	2005
ketamine	cannabis	1	2006-12-01	2006
ketamine	cannabis	1	2006-12-01	2006
ketamine	cannabis	1	2006-08-01	2006
ketamine	cannabis	1	2006-08-01	2006
ketamine	cannabis	1	2006-05-01	2006
ketamine	cannabis	1	2006-04-01	2006
ketamine	cannabis	1	2006-03-01	2006
ketamine	alcohol	1	2006-12-01	2006
ketamine	alcohol	1	2006-08-01	2006
ketamine	alcohol	1	2006-07-01	2006
ketamine	alcohol	1	2006-05-01	2006
ketamine	alcohol	1	2006-04-01	2006
ketamine	mdma	1	2006-11-01	2006
ketamine	mdma	1	2006-08-01	2006
ketamine	mdma	1	2006-07-01	2006
ketamine	mdma	1	2006-05-01	2006
ketamine	mdma	1	2006-04-01	2006
ketamine	acetaminophen	1	2006-07-01	2006
ketamine	cocaine	1	2006-08-01	2006
ketamine	codeine	1	2006-07-01	2006
ketamine	2c-b	1	2006-12-01	2006
ketamine	ghb	1	2006-05-01	2006
ketamine	lsd	1	2006-04-01	2006
ketamine	mushrooms	1	2006-04-01	2006
ketamine	nitrous oxide	1	2006-04-01	2006
ketamine	alprazolam	1	2006-03-01	2006
ketamine	piracetam	1	2006-03-01	2006
ketamine	cannabis	1	2007-12-01	2007
ketamine	cannabis	1	2007-11-01	2007
ketamine	cannabis	1	2007-06-01	2007
ketamine	cannabis	1	2007-05-01	2007
ketamine	cannabis	1	2007-04-01	2007
ketamine	cannabis	1	2007-04-01	2007
ketamine	cannabis	1	2007-04-01	2007
ketamine	cannabis	1	2007-02-01	2007
