source	target	value	date	year
dmt	mushrooms	1	2000-06-01	2000
dmt	mushrooms	1	2000-06-01	2000
dmt	5-meo-dmt	1	2000-06-01	2000
dmt	mdma	1	2000-06-01	2000
dmt	moclobemide	1	2000-06-01	2000
dmt	harmala alkaloids	1	2000-06-01	2000
dmt	syrian rue	1	2000-06-01	2000
dmt	mushrooms	1	2001-12-01	2001
dmt	cannabis	1	2002-12-01	2002
dmt	cannabis	1	2002-02-01	2002
dmt	syrian rue	1	2002-05-01	2002
dmt	salvia divinorum	1	2002-05-01	2002
dmt	dpt	1	2002-02-01	2002
dmt	syrian rue	1	2003-12-01	2003
dmt	syrian rue	1	2003-07-01	2003
dmt	mushrooms	1	2003-07-01	2003
dmt	mushrooms	1	2003-04-01	2003
dmt	moclobemide	1	2003-10-01	2003
dmt	harmala alkaloids	1	2003-07-01	2003
dmt	alcohol	1	2003-02-01	2003
dmt	nitrous oxide	1	2003-02-01	2003
dmt	moclobemide	1	2004-12-01	2004
dmt	5-meo-dmt	1	2004-07-01	2004
dmt	moclobemide	1	2005-11-01	2005
dmt	moclobemide	1	2005-09-01	2005
dmt	moclobemide	1	2005-06-01	2005
dmt	moclobemide	1	2005-05-01	2005
dmt	cannabis	1	2005-12-01	2005
dmt	cannabis	1	2005-10-01	2005
dmt	cannabis	1	2005-07-01	2005
dmt	salvia divinorum	1	2005-06-01	2005
dmt	salvia divinorum	1	2005-05-01	2005
dmt	lsd	1	2005-08-01	2005
dmt	lsd	1	2005-06-01	2005
dmt	alprazolam	1	2005-07-01	2005
dmt	alcohol	1	2005-12-01	2005
dmt	smoked	1	2005-06-01	2005
dmt	salvia divinorum	1	2006-09-01	2006
dmt	salvia divinorum	1	2006-06-01	2006
dmt	salvia divinorum	1	2006-04-01	2006
dmt	cannabis	1	2006-12-01	2006
dmt	cannabis	1	2006-09-01	2006
dmt	syrian rue	1	2006-10-01	2006
dmt	alcohol	1	2006-09-01	2006
dmt	mdma	1	2006-09-01	2006
dmt	lsd	1	2006-06-01	2006
dmt	smoked	1	2006-06-01	2006
dmt	cannabis	1	2007-10-01	2007
dmt	cannabis	1	2007-10-01	2007
dmt	cannabis	1	2007-10-01	2007
dmt	cannabis	1	2007-08-01	2007
dmt	cannabis	1	2007-03-01	2007
dmt	cannabis	1	2007-03-01	2007
dmt	nitrous oxide	1	2007-11-01	2007
dmt	nitrous oxide	1	2007-09-01	2007
dmt	nitrous oxide	1	2007-08-01	2007
dmt	nitrous oxide	1	2007-08-01	2007
dmt	syrian rue	1	2007-06-01	2007
dmt	syrian rue	1	2007-01-01	2007
dmt	syrian rue	1	2007-01-01	2007
dmt	2c-b	1	2007-11-01	2007
dmt	2c-b	1	2007-08-01	2007
dmt	5-meo-dmt	1	2007-12-01	2007
dmt	5-meo-dmt	1	2007-11-01	2007
dmt	lsd	1	2007-10-01	2007
dmt	ketamine	1	2007-11-01	2007
dmt	cacti	1	2007-06-01	2007
dmt	2c-e	1	2007-06-01	2007
dmt	2c-b	1	2008-09-01	2008
dmt	2c-b	1	2008-06-01	2008
dmt	lsd	1	2008-09-01	2008
dmt	lsd	1	2008-06-01	2008
dmt	syrian rue	1	2008-09-01	2008
dmt	syrian rue	1	2008-03-01	2008
dmt	mushrooms	1	2008-09-01	2008
dmt	mushrooms	1	2008-06-01	2008
dmt	cannabis	1	2008-09-01	2008
dmt	cannabis	1	2008-07-01	2008
dmt	mdma	1	2008-06-01	2008
dmt	ketamine	1	2008-06-01	2008
dmt	banisteriopsis caapi	1	2008-03-01	2008
dmt	2c-e	1	2008-01-01	2008
dmt	alcohol	1	2008-01-01	2008
dmt	cannabis	1	2009-12-01	2009
dmt	cannabis	1	2009-07-01	2009
dmt	cannabis	1	2009-07-01	2009
dmt	syrian rue	1	2009-08-01	2009
dmt	syrian rue	1	2009-06-01	2009
dmt	syrian rue	1	2009-02-01	2009
dmt	lsd	1	2009-12-01	2009
dmt	lsd	1	2009-06-01	2009
dmt	5-meo-dmt	1	2009-07-01	2009
dmt	5-meo-dmt	1	2009-03-01	2009
dmt	banisteriopsis caapi	1	2009-08-01	2009
dmt	banisteriopsis caapi	1	2009-06-01	2009
dmt	salvia divinorum	1	2009-11-01	2009
dmt	salvia divinorum	1	2009-07-01	2009
dmt	nitrous oxide	1	2009-12-01	2009
dmt	alcohol	1	2009-12-01	2009
dmt	smoked	1	2009-02-01	2009
dmt	cacti	1	2009-02-01	2009
dmt	cannabis	1	2010-09-01	2010
dmt	cannabis	1	2010-09-01	2010
dmt	cannabis	1	2010-09-01	2010
dmt	cannabis	1	2010-08-01	2010
dmt	cannabis	1	2010-08-01	2010
dmt	cannabis	1	2010-07-01	2010
dmt	cannabis	1	2010-03-01	2010
dmt	lsd	1	2010-10-01	2010
dmt	lsd	1	2010-08-01	2010
dmt	lsd	1	2010-06-01	2010
dmt	lsd	1	2010-05-01	2010
dmt	mdma	1	2010-10-01	2010
dmt	mdma	1	2010-06-01	2010
dmt	alcohol	1	2010-06-01	2010
dmt	alcohol	1	2010-05-01	2010
dmt	nitrous oxide	1	2010-03-01	2010
dmt	nitrous oxide	1	2010-01-01	2010
dmt	5-meo-dmt	1	2010-07-01	2010
dmt	alprazolam	1	2010-09-01	2010
dmt	banisteriopsis caapi	1	2010-09-01	2010
dmt	mushrooms	1	2010-03-01	2010
dmt	salvia divinorum	1	2010-03-01	2010
dmt	cannabis	1	2011-11-01	2011
dmt	cannabis	1	2011-05-01	2011
dmt	cannabis	1	2011-01-01	2011
dmt	2c-e	1	2011-09-01	2011
dmt	salvia divinorum	1	2011-07-01	2011
dmt	lsd	1	2011-07-01	2011
dmt	cacti	1	2011-05-01	2011
dmt	cannabis	1	2012-12-01	2012
dmt	cannabis	1	2012-11-01	2012
dmt	cannabis	1	2012-10-01	2012
dmt	cannabis	1	2012-03-01	2012
dmt	lsd	1	2012-12-01	2012
dmt	lsd	1	2012-12-01	2012
dmt	lsd	1	2012-11-01	2012
dmt	2c-e	1	2012-12-01	2012
dmt	2c-e	1	2012-11-01	2012
dmt	mdma	1	2012-12-01	2012
dmt	mdma	1	2012-12-01	2012
dmt	banisteriopsis caapi	1	2012-03-01	2012
dmt	cacti	1	2012-12-01	2012
dmt	mushrooms	1	2012-12-01	2012
dmt	nitrous oxide	1	2012-12-01	2012
dmt	syrian rue	1	2012-11-01	2012
dmt	cannabis	1	2013-11-01	2013
dmt	cannabis	1	2013-10-01	2013
dmt	cannabis	1	2013-07-01	2013
dmt	cannabis	1	2013-07-01	2013
dmt	cannabis	1	2013-04-01	2013
dmt	cannabis	1	2013-04-01	2013
dmt	cannabis	1	2013-01-01	2013
dmt	lsd	1	2013-07-01	2013
dmt	lsd	1	2013-07-01	2013
dmt	lsd	1	2013-07-01	2013
dmt	lsd	1	2013-07-01	2013
dmt	alcohol	1	2013-10-01	2013
dmt	alcohol	1	2013-07-01	2013
dmt	mdma	1	2013-07-01	2013
dmt	mdma	1	2013-04-01	2013
dmt	mushrooms	1	2013-06-01	2013
dmt	mushrooms	1	2013-04-01	2013
dmt	4-acetoxy-dipt	1	2013-07-01	2013
dmt	cacti	1	2013-10-01	2013
dmt	mescaline	1	2013-10-01	2013
dmt	alprazolam	1	2013-07-01	2013
dmt	dpt	1	2013-07-01	2013
dmt	cannabis	1	2014-01-01	2014
dmt	cannabis	1	2014-05-01	2014
dmt	lsd	1	2014-09-01	2014
dmt	lsd	1	2014-05-01	2014
dmt	mescaline	1	2014-09-01	2014
dmt	banisteriopsis caapi	1	2014-05-01	2014
dmt	4-acetoxy-dipt	1	2014-05-01	2014
dmt	dpt	1	2014-05-01	2014
dmt	mdma	1	2014-05-01	2014
dmt	mushrooms	1	2014-05-01	2014
